Time (s),Linear Acceleration z1 (m/s^2),Linear Acceleration z2 (m/s^2),Linear Acceleration z3 (m/s^2)
3.475,-0.143992186,-1.829760075,-0.436343431
3.48,-0.004678488,-1.237103224,-0.398119926
3.485,-0.095118284,-0.271289349,-0.469739437
3.49,-0.054105997,0.668214798,-0.498291254
3.495,-0.05910635,1.614613771,-0.519778252
3.5,0.037945986,2.511613131,-0.608489513
3.505,0.141149759,3.863809824,-0.668856144
3.51,0.348806381,4.89287281,-0.655753374
3.515,0.457997918,4.896397591,-0.626743078
3.52,0.572137833,4.207100391,-0.639559507
3.525,0.634399414,3.143219471,-0.591755152
3.53,0.585601568,2.28678894,-0.545833349
3.535,0.404708862,1.43294239,-0.485156536
3.54,0.149303913,0.825518608,-0.410071135
3.545,-0.049138665,0.429784298,-0.342306137
3.55,-0.186020732,0.332333922,-0.286855698
3.555,-0.397751451,0.167313814,-0.243892431
3.56,-0.619632483,0.256176829,-0.289851665
3.565,-0.724601388,-0.014215708,-0.292899609
3.57,-0.688102961,-1.04278636,-0.375139475
3.575,-0.745722294,-2.878247499,-0.575265169
3.58,-0.80660224,-5.799020767,-0.886399269
3.585,-0.754000366,-8.421611786,-1.115120173
3.59,-0.46373868,-0.777737856,-1.467423677
3.595,-0.160141706,-0.67918992,-1.807174563
3.6,0.368601441,2.4325881,-2.244983435
3.605,0.604857564,9.921725273,-2.676774979
3.61,0.726882219,26.9555397,-3.104412556
3.615,0.756921291,46.46171188,-3.385752201
3.62,0.673342347,51.01804352,-3.811361313
3.625,0.455378652,47.84401321,-4.121296406
3.63,0.606244028,40.77216339,-4.289246082
3.635,0.536260545,34.79661179,-4.112672806
3.64,0.412038743,31.32566071,-3.437515259
3.645,1.112112403,25.74272537,-2.267385721
3.65,1.782303333,18.27781296,-1.048164606
3.655,1.718331218,10.72158623,-0.145529032
3.66,-0.00315392,5.163467407,0.463049889
3.665,-2.821439266,-0.614978075,0.85018158
3.67,-6.319204807,-4.065734386,0.797566891
3.675,-9.425354004,-6.346678257,0.242665768
3.68,-5.111397266,-8.652477264,-0.391272068
3.685,-0.196352482,-8.74140358,-1.098218441
3.69,7.547502995,-7.172219276,-1.71075511
3.695,24.54010201,-5.329557896,-2.178300142
3.7,37.75701141,-3.416912079,-2.475182533
3.705,44.98708725,-1.729835272,-3.379718065
3.71,49.13758469,-0.51156354,-4.676909924
3.715,48.81172943,1.055196285,-5.987365723
3.72,45.92076111,0.720429897,-5.874911785
3.725,39.28134537,0.838815212,-2.868400574
3.73,31.02526855,1.286026001,2.209626675
3.735,23.68853378,1.068703651,15.25829887
3.74,17.24938202,0.464857101,22.76987457
3.745,11.9070034,0.513881683,38.67705536
3.75,7.196928024,0.487093449,49.05693054
3.755,3.452201366,0.307130337,47.80332565
3.76,0.351318359,-0.008136749,44.70389938
3.765,-1.815359831,-0.242433548,39.36266327
3.77,-2.649623394,-0.629584312,34.41405487
3.775,-2.450376749,-1.073285341,29.00241852
3.78,-1.784212589,-1.583043337,22.89237595
3.785,-1.059532166,-1.952968597,16.13602638
3.79,-0.546348572,-2.216059923,9.024557114
3.795,-0.111549377,-2.43147707,3.050571918
3.8,0.113328457,-2.612665176,-0.923523664
3.805,0.334693432,-2.73473382,-3.24698925
3.81,0.412792683,-2.834708929,-3.732719421
3.815,0.505449772,-2.884701967,-2.665296555
3.82,0.658886433,-2.890455246,-0.864109039
3.825,0.736553192,-2.854894638,1.144402504
3.83,0.90514946,-2.766568184,2.532615662
3.835,0.909368515,-2.639918327,3.320902824
3.84,0.914436817,-2.479746103,3.563955307
3.845,0.850164413,-2.254885197,3.351847649
3.85,0.528776169,-2.029573202,2.875266552
3.855,0.22402668,-1.700380802,2.172503948
3.86,-0.236088753,-1.474924803,1.335644722
3.865,-0.600236893,-1.438799143,0.40601778
3.87,-1.050351143,-1.498334646,-0.485136032
3.875,-1.509836197,-1.459601879,-1.245426655
3.88,-2.002480745,-1.33910346,-1.952354193
3.885,-2.468401194,-1.176996946,-2.468007803
3.89,-2.907241821,-0.970331907,-2.775669575
3.895,-3.240117073,-0.874075174,-3.056545258
