Time (s),Linear Acceleration y1 (m/s^2),Linear Acceleration y2 (m/s^2),Linear Acceleration y3 (m/s^2)
4.66,0.095058441,-0.063764572,0.106740952
4.665,0.099488258,-0.025453568,0.14330101
4.67,0.103800774,-0.046831131,0.120383263
4.675,0.129444122,-0.034887314,0.116970062
4.68,0.069332123,-0.023152351,0.137641907
4.685,0.083230019,-0.011597633,0.156120777
4.69,0.037529945,-0.000275612,0.160595417
4.695,0.079910278,0.015442848,0.094244957
4.7,0.095680237,0.02839756,0.126116753
4.705,0.085058212,0.00772953,0.086808681
4.71,0.079128265,-0.001086235,0.107398987
4.715,0.104008675,-0.005280495,0.113628864
4.72,0.111978531,0.007116318,0.110281467
4.725,0.10794735,-0.023278236,0.097408295
4.73,0.087264061,0.025005341,0.072586536
4.735,0.100021362,0.075387955,0.059613705
4.74,0.093726158,0.085146904,-0.015211582
4.745,0.080526352,0.076013565,0.029105186
4.75,0.112781525,0.069581985,-0.01265192
4.755,0.080952644,0.053933144,-0.018688679
4.76,0.035425186,-0.011128426,-0.041574001
4.765,0.040450096,-0.016043663,-0.055034637
4.77,0.031424522,-0.013530731,-0.078132153
4.775,0.025090218,-0.03213501,-0.072628498
4.78,-0.009511948,-0.024336815,-0.045860767
4.785,-0.022414207,-0.047338486,-0.071444511
4.79,-0.05180645,-0.029763222,-0.01118803
4.795,-0.031145096,-0.000475883,-0.012905598
4.8,-0.051094055,-0.047369003,-0.054736614
4.805,-0.111409187,-0.017857552,-0.017746925
4.81,-0.073997498,-0.045597076,-0.047333717
4.815,-0.09879303,0.040822983,-0.043172359
4.82,-0.104607582,0.005480766,-0.029231071
4.825,-0.103495598,0.015604973,-0.017393589
4.83,-0.119253159,-0.012243271,-0.019661903
4.835,-0.146940231,-0.046868324,-0.033668041
4.84,-0.122333527,-0.062111855,-0.026141167
